text,label
Bu ürün beklentimi tamamen karşıladı,1
Uygulama hızlı ve kullanımı çok kolay,1
Müşteri hizmetleri sorunu hemen çözdü,1
Paketleme özenli ve teslimat hızlıydı,1
Eğitim anlatımı açık ve anlaşılır,1
Yeni güncelleme performansı belirgin artırdı,1
Fiyatına göre sunduğu kalite çok iyi,1
Arayüz sade ve oldukça kullanışlı,1
Kurulum sorunsuz biçimde tamamlandı,1
Sonuçlardan gerçekten memnun kaldım,1
Destek ekibi nazik ve bilgiliydi,1
Pil ömrü beklediğimden daha uzun,1
Belgelendirme örneklerle güzel hazırlanmış,1
Program bütün ihtiyaçlarımı karşılıyor,1
Ses kalitesi temiz ve dengeli,1
Siparişim zamanında ve sağlam ulaştı,1
Bu özelliğin eklenmesi çok faydalı olmuş,1
Model küçük olmasına rağmen iyi çalışıyor,1
Raporlar düzenli ve okunması kolay,1
İlk denemede doğru sonucu elde ettim,1
Uygulama kararlı ve akıcı çalışıyor,1
İçerik güncel ve pratik bilgiler sunuyor,1
Veri aktarımı beklediğimden hızlı bitti,1
Tasarım hem şık hem işlevsel,1
Bu ürün beklentimin çok altında kaldı,0
Uygulama sürekli donuyor ve kapanıyor,0
Müşteri hizmetleri soruma cevap vermedi,0
Paket hasarlı ve teslimat çok gecikti,0
Eğitim anlatımı dağınık ve anlaşılmaz,0
Yeni güncelleme performansı daha da düşürdü,0
Fiyatına göre kalitesi oldukça zayıf,0
Arayüz karmaşık ve kullanışsız,0
Kurulum sırasında sürekli hata aldım,0
Sonuçlardan hiç memnun kalmadım,0
Destek ekibi ilgisiz ve bilgisizdi,0
Pil birkaç saat içinde tamamen bitti,0
Belgelendirme eksik ve örnekler çalışmıyor,0
Program temel ihtiyaçlarımı bile karşılamıyor,0
Ses kalitesi boğuk ve dengesiz,0
Siparişim geç ve kırık ulaştı,0
Bu özellik gereksiz ve hatalı çalışıyor,0
Model basit sorularda bile başarısız oluyor,0
Raporlar düzensiz ve okunması zor,0
İlk denemede sistem tamamen çöktü,0
Uygulama kararsız ve çok yavaş çalışıyor,0
İçerik eski ve pratik bilgi sunmuyor,0
Veri aktarımı saatlerce tamamlanmadı,0
Tasarım özensiz ve işlevsiz,0


